regime_key,regime_name,strategy_key,strategy_name,cagr,final_val,multiple,max_dd,calmar,win_rate,trades,profit_factor
INFLATION_CHOP_2022,Class 5: 2022 Global Rate-Hike & Ukraine War Chop,CHAMPION_SW_005479_000640,Champion Fusion: SW_005479 (Alpha) + SW_000640 (Fortress),52.72,456052.31,1.52,16.14,3.27,29.8,57,1.18
INFLATION_CHOP_2022,Class 5: 2022 Global Rate-Hike & Ukraine War Chop,PURE_SW_005479,Pure SW_005479 (Alpha Champion - No Bear Sweep),57.8,471040.52,1.57,28.0,2.06,26.0,73,0.98
INFLATION_CHOP_2022,Class 5: 2022 Global Rate-Hike & Ukraine War Chop,PURE_SW_000640,Pure SW_000640 (Fortress Shield - 5 Slots),5.12,315184.09,1.05,18.68,0.27,42.2,90,0.65
INFLATION_CHOP_2022,Class 5: 2022 Global Rate-Hike & Ukraine War Chop,CLASSIC_8SLOT,Classic 8-Slot Diversified Swing (12.5% Slots),7.74,322960.91,1.08,14.41,0.54,40.7,140,0.62
INFLATION_CHOP_2022,Class 5: 2022 Global Rate-Hike & Ukraine War Chop,BENCHMARK_BUY_HOLD,Benchmark: Buy & Hold Market Index,-0.87,297415.5,0.99,99.83,-0.01,50.0,1,1.0
BREAKOUT_2023,Class 6: 2023 Broad-Market Midcap Frenzy,CHAMPION_SW_005479_000640,Champion Fusion: SW_005479 (Alpha) + SW_000640 (Fortress),45.0,433240.49,1.44,13.92,3.23,23.1,39,1.55
BREAKOUT_2023,Class 6: 2023 Broad-Market Midcap Frenzy,PURE_SW_005479,Pure SW_005479 (Alpha Champion - No Bear Sweep),47.92,441868.14,1.47,17.38,2.76,21.7,46,1.42
BREAKOUT_2023,Class 6: 2023 Broad-Market Midcap Frenzy,PURE_SW_000640,Pure SW_000640 (Fortress Shield - 5 Slots),44.2,430882.65,1.44,12.71,3.48,45.8,83,1.47
BREAKOUT_2023,Class 6: 2023 Broad-Market Midcap Frenzy,CLASSIC_8SLOT,Classic 8-Slot Diversified Swing (12.5% Slots),35.57,405361.24,1.35,12.62,2.82,52.6,95,1.31
BREAKOUT_2023,Class 6: 2023 Broad-Market Midcap Frenzy,BENCHMARK_BUY_HOLD,Benchmark: Buy & Hold Market Index,30.95,391682.56,1.31,99.85,0.31,50.0,1,1.0
RECENT_CYCLE_2024_2026,Class 7: Recent Multi-Regime Cycle (2024 - 2026),CHAMPION_SW_005479_000640,Champion Fusion: SW_005479 (Alpha) + SW_000640 (Fortress),25.74,560086.94,1.87,27.97,0.92,26.0,154,0.92
RECENT_CYCLE_2024_2026,Class 7: Recent Multi-Regime Cycle (2024 - 2026),PURE_SW_005479,Pure SW_005479 (Alpha Champion - No Bear Sweep),21.2,506695.5,1.69,34.19,0.62,23.5,183,0.8
RECENT_CYCLE_2024_2026,Class 7: Recent Multi-Regime Cycle (2024 - 2026),PURE_SW_000640,Pure SW_000640 (Fortress Shield - 5 Slots),9.19,381264.23,1.27,17.59,0.52,34.9,232,0.65
RECENT_CYCLE_2024_2026,Class 7: Recent Multi-Regime Cycle (2024 - 2026),CLASSIC_8SLOT,Classic 8-Slot Diversified Swing (12.5% Slots),1.48,312241.76,1.04,21.85,0.07,34.2,316,0.55
RECENT_CYCLE_2024_2026,Class 7: Recent Multi-Regime Cycle (2024 - 2026),BENCHMARK_BUY_HOLD,Benchmark: Buy & Hold Market Index,5.62,348203.76,1.16,99.92,0.06,50.0,1,1.0
