regime_key,regime_name,strategy_key,strategy_name,xirr,final_val,invested,multiple,max_dd,calmar
SUPERBULL_2021,Class 4: 2021 Super-Bull,QM2_CAP_RATIO_SWITCHER,Quantum 2: Small/Large Cap Relative Alpha Switcher,4.76,307668.4,300000.0,1.03,0.0,0.0
SUPERBULL_2021,Class 4: 2021 Super-Bull,QM3_4STATE_TENSOR,Quantum 3: 4-State Dynamic Macro Tensor Engine,17.28,327328.85,300000.0,1.09,10.01,1.73
SUPERBULL_2021,Class 4: 2021 Super-Bull,QM4_HORIZON_SYNERGY,Quantum 4: Quantum Horizon Synergy (Stock-Level Fusion + Skim),16.32,325840.35,300000.0,1.09,12.62,1.29
SUPERBULL_2021,Class 4: 2021 Super-Bull,QM5_ASYMMETRIC_RATCHET,Quantum 5: Quantum Asymmetric Ratchet Engine (Dip Buy + Skim),-23.12,261011.21,300000.0,0.87,9.74,-2.37
INFLATION_CHOP_2022,Class 5: 2022 Inflation Chop,PURE_CENTURION,Benchmark A: Pure Centurion Wealth Engine,-12.45,279520.55,300000.0,0.93,11.69,-1.07
INFLATION_CHOP_2022,Class 5: 2022 Inflation Chop,APEX_00769,Benchmark B: Pure Apex Compounder (SIP_00769),0.82,301322.36,300000.0,1.0,18.09,0.05
INFLATION_CHOP_2022,Class 5: 2022 Inflation Chop,QM1_BREADTH_SWITCHER,Quantum 1: Market Breadth Dual-Gate Switcher,4.28,306849.64,300000.0,1.02,15.24,0.28
INFLATION_CHOP_2022,Class 5: 2022 Inflation Chop,QM2_CAP_RATIO_SWITCHER,Quantum 2: Small/Large Cap Relative Alpha Switcher,4.76,307622.75,300000.0,1.03,0.0,0.0
INFLATION_CHOP_2022,Class 5: 2022 Inflation Chop,QM3_4STATE_TENSOR,Quantum 3: 4-State Dynamic Macro Tensor Engine,-67.51,172701.09,300000.0,0.58,22.46,-3.01
INFLATION_CHOP_2022,Class 5: 2022 Inflation Chop,QM4_HORIZON_SYNERGY,Quantum 4: Quantum Horizon Synergy (Stock-Level Fusion + Skim),-31.54,246207.21,300000.0,0.82,16.53,-1.91
INFLATION_CHOP_2022,Class 5: 2022 Inflation Chop,QM5_ASYMMETRIC_RATCHET,Quantum 5: Quantum Asymmetric Ratchet Engine (Dip Buy + Skim),-65.12,178288.56,300000.0,0.59,19.69,-3.31
BREAKOUT_2023,Class 6: 2023 Midcap Breakout,PURE_CENTURION,Benchmark A: Pure Centurion Wealth Engine,50.27,375482.24,300000.0,1.25,7.88,6.38
BREAKOUT_2023,Class 6: 2023 Midcap Breakout,APEX_00769,Benchmark B: Pure Apex Compounder (SIP_00769),144.36,499604.52,300000.0,1.67,13.37,10.8
BREAKOUT_2023,Class 6: 2023 Midcap Breakout,QM1_BREADTH_SWITCHER,Quantum 1: Market Breadth Dual-Gate Switcher,134.48,487286.13,300000.0,1.62,7.73,17.4
BREAKOUT_2023,Class 6: 2023 Midcap Breakout,QM2_CAP_RATIO_SWITCHER,Quantum 2: Small/Large Cap Relative Alpha Switcher,4.73,307526.97,300000.0,1.03,0.0,0.0
BREAKOUT_2023,Class 6: 2023 Midcap Breakout,QM3_4STATE_TENSOR,Quantum 3: 4-State Dynamic Macro Tensor Engine,-34.21,241617.58,300000.0,0.81,13.44,-2.55
BREAKOUT_2023,Class 6: 2023 Midcap Breakout,QM4_HORIZON_SYNERGY,Quantum 4: Quantum Horizon Synergy (Stock-Level Fusion + Skim),46.09,369521.87,300000.0,1.23,10.28,4.48
BREAKOUT_2023,Class 6: 2023 Midcap Breakout,QM5_ASYMMETRIC_RATCHET,Quantum 5: Quantum Asymmetric Ratchet Engine (Dip Buy + Skim),3.63,305781.07,300000.0,1.02,13.6,0.27
RECENT_2024_2026,Class 7: Recent 2024-2026 Cycle,PURE_CENTURION,Benchmark A: Pure Centurion Wealth Engine,3.51,865876.85,825000.0,1.05,15.09,0.23
RECENT_2024_2026,Class 7: Recent 2024-2026 Cycle,APEX_00769,Benchmark B: Pure Apex Compounder (SIP_00769),11.45,962846.73,825000.0,1.17,17.77,0.64
RECENT_2024_2026,Class 7: Recent 2024-2026 Cycle,QM1_BREADTH_SWITCHER,Quantum 1: Market Breadth Dual-Gate Switcher,2.98,859622.7,825000.0,1.04,15.39,0.19
RECENT_2024_2026,Class 7: Recent 2024-2026 Cycle,QM2_CAP_RATIO_SWITCHER,Quantum 2: Small/Large Cap Relative Alpha Switcher,4.72,880289.16,825000.0,1.07,0.0,0.0
RECENT_2024_2026,Class 7: Recent 2024-2026 Cycle,QM3_4STATE_TENSOR,Quantum 3: 4-State Dynamic Macro Tensor Engine,-27.53,342899.27,825000.0,0.42,23.88,-1.15
RECENT_2024_2026,Class 7: Recent 2024-2026 Cycle,QM4_HORIZON_SYNERGY,Quantum 4: Quantum Horizon Synergy (Stock-Level Fusion + Skim),-7.44,742273.34,825000.0,0.9,14.31,-0.52
RECENT_2024_2026,Class 7: Recent 2024-2026 Cycle,QM5_ASYMMETRIC_RATCHET,Quantum 5: Quantum Asymmetric Ratchet Engine (Dip Buy + Skim),-23.72,394425.68,825000.0,0.48,18.16,-1.31
