id,proto,sizing,3tier,clenow,step,hedge_pct,xirr,profit_factor,payoff,win_rate,max_dd,final_val,score
47,ADAPTIVE_S,EQUAL,True,True,False,5.0,19.89,0.92,1.47,38.6,31.55,2307803.27,7.09
48,ADAPTIVE_S,EQUAL,True,True,False,10.0,20.89,0.92,1.57,36.9,29.0,2360075.97,7.94
49,DYNAMIC_AT,ERC,False,False,True,5.0,22.29,6.3,4.41,58.8,22.73,2435362.24,27.71
50,DYNAMIC_AT,ERC,False,False,True,10.0,22.14,6.25,4.74,56.9,22.71,2427105.04,27.75
51,DYNAMIC_AT,ERC,False,False,False,5.0,22.29,6.3,4.41,58.8,22.73,2435362.24,27.71
52,DYNAMIC_AT,ERC,False,False,False,10.0,22.14,6.25,4.74,56.9,22.71,2427105.04,27.75
53,DYNAMIC_AT,ERC,False,True,True,5.0,22.97,5.95,4.96,54.5,22.16,2472452.59,27.43
54,DYNAMIC_AT,ERC,False,True,True,10.0,22.91,5.74,4.44,56.4,22.15,2469476.99,26.39
55,DYNAMIC_AT,ERC,False,True,False,5.0,22.97,5.95,4.96,54.5,22.16,2472452.59,27.43
56,DYNAMIC_AT,ERC,False,True,False,10.0,22.91,5.74,4.44,56.4,22.15,2469476.99,26.39
57,DYNAMIC_AT,ERC,True,False,True,5.0,23.5,3.82,3.01,55.9,22.24,2502000.77,19.78
58,DYNAMIC_AT,ERC,True,False,True,10.0,23.04,3.66,2.77,56.9,22.19,2476793.06,18.95
59,DYNAMIC_AT,ERC,True,False,False,5.0,23.5,3.82,3.01,55.9,22.24,2502000.77,19.78
60,DYNAMIC_AT,ERC,True,False,False,10.0,23.04,3.66,2.77,56.9,22.19,2476793.06,18.95
61,DYNAMIC_AT,ERC,True,True,True,5.0,23.7,3.48,3.12,52.7,22.54,2513196.41,18.88
62,DYNAMIC_AT,ERC,True,True,True,10.0,22.35,3.13,2.61,54.5,22.59,2438529.03,16.9
63,DYNAMIC_AT,ERC,True,True,False,5.0,23.7,3.48,3.12,52.7,22.54,2513196.41,18.88
64,DYNAMIC_AT,ERC,True,True,False,10.0,22.35,3.13,2.61,54.5,22.59,2438529.03,16.9
65,DYNAMIC_AT,CONVICTION,False,False,True,5.0,21.5,5.11,3.73,57.8,23.6,2392922.98,23.19
66,DYNAMIC_AT,CONVICTION,False,False,True,10.0,21.42,5.18,3.77,57.8,23.58,2388570.38,23.4
67,DYNAMIC_AT,CONVICTION,False,False,False,5.0,21.5,5.11,3.73,57.8,23.6,2392922.98,23.19
68,DYNAMIC_AT,CONVICTION,False,False,False,10.0,21.42,5.18,3.77,57.8,23.58,2388570.38,23.4
69,DYNAMIC_AT,CONVICTION,False,True,True,5.0,22.56,5.51,4.76,53.6,23.08,2450265.46,25.66
70,DYNAMIC_AT,CONVICTION,False,True,True,10.0,22.56,5.53,4.78,53.6,23.01,2450087.79,25.75
71,DYNAMIC_AT,CONVICTION,False,True,False,5.0,22.56,5.51,4.76,53.6,23.08,2450265.46,25.66
72,DYNAMIC_AT,CONVICTION,False,True,False,10.0,22.56,5.53,4.78,53.6,23.01,2450087.79,25.75
73,DYNAMIC_AT,CONVICTION,True,False,True,5.0,24.75,3.82,3.53,52.0,22.3,2572706.44,20.66
74,DYNAMIC_AT,CONVICTION,True,False,True,10.0,24.62,3.87,3.31,53.9,22.13,2565567.28,20.62
75,DYNAMIC_AT,CONVICTION,True,False,False,5.0,24.75,3.82,3.53,52.0,22.3,2572706.44,20.66
76,DYNAMIC_AT,CONVICTION,True,False,False,10.0,24.62,3.87,3.31,53.9,22.13,2565567.28,20.62
77,DYNAMIC_AT,CONVICTION,True,True,True,5.0,25.14,3.71,3.21,53.6,22.73,2595115.47,20.18
78,DYNAMIC_AT,CONVICTION,True,True,True,10.0,25.16,3.73,3.6,50.9,22.67,2596233.01,20.55
79,DYNAMIC_AT,CONVICTION,True,True,False,5.0,25.14,3.71,3.21,53.6,22.73,2595115.47,20.18
80,DYNAMIC_AT,CONVICTION,True,True,False,10.0,25.16,3.73,3.6,50.9,22.67,2596233.01,20.55
81,DYNAMIC_AT,EQUAL,False,False,True,5.0,21.35,5.73,4.34,56.9,23.23,2384923.71,25.5
82,DYNAMIC_AT,EQUAL,False,False,True,10.0,21.59,5.89,4.47,56.9,23.18,2397777.94,26.18
83,DYNAMIC_AT,EQUAL,False,False,False,5.0,21.35,5.73,4.34,56.9,23.23,2384923.71,25.5
84,DYNAMIC_AT,EQUAL,False,False,False,10.0,21.59,5.89,4.47,56.9,23.18,2397777.94,26.18
85,DYNAMIC_AT,EQUAL,False,True,True,5.0,22.09,5.77,4.64,55.5,22.86,2424555.1,26.2
86,DYNAMIC_AT,EQUAL,False,True,True,10.0,22.28,5.9,4.47,56.9,22.69,2434830.47,26.56
87,DYNAMIC_AT,EQUAL,False,True,False,5.0,22.09,5.77,4.64,55.5,22.86,2424555.1,26.2
88,DYNAMIC_AT,EQUAL,False,True,False,10.0,22.28,5.9,4.47,56.9,22.69,2434830.47,26.56
89,DYNAMIC_AT,EQUAL,True,False,True,5.0,22.96,3.72,3.3,52.9,22.54,2472172.37,19.44
90,DYNAMIC_AT,EQUAL,True,False,True,10.0,23.13,3.76,2.97,55.9,22.43,2481323.74,19.39
91,DYNAMIC_AT,EQUAL,True,False,False,5.0,22.96,3.72,3.3,52.9,22.54,2472172.37,19.44
92,DYNAMIC_AT,EQUAL,True,False,False,10.0,23.13,3.76,2.97,55.9,22.43,2481323.74,19.39
93,DYNAMIC_AT,EQUAL,True,True,True,5.0,23.31,3.52,3.16,52.7,23.16,2491752.28,18.78
94,DYNAMIC_AT,EQUAL,True,True,True,10.0,23.28,3.52,3.04,53.6,23.13,2489669.22,18.68
95,DYNAMIC_AT,EQUAL,True,True,False,5.0,23.31,3.52,3.16,52.7,23.16,2491752.28,18.78
96,DYNAMIC_AT,EQUAL,True,True,False,10.0,23.28,3.52,3.04,53.6,23.13,2489669.22,18.68
97,STRUCTURAL,ERC,False,False,True,5.0,30.45,3.92,7.24,35.1,24.04,2918559.89,25.76
98,STRUCTURAL,ERC,False,False,True,10.0,31.17,3.69,7.16,34.0,24.37,2964847.3,25.25
99,STRUCTURAL,ERC,False,False,False,5.0,30.45,3.92,7.24,35.1,24.04,2918559.89,25.76
100,STRUCTURAL,ERC,False,False,False,10.0,31.17,3.69,7.16,34.0,24.37,2964847.3,25.25
101,STRUCTURAL,ERC,False,True,True,5.0,24.66,2.92,5.4,35.1,25.0,2567762.88,18.92
102,STRUCTURAL,ERC,False,True,True,10.0,24.62,2.86,5.13,35.8,22.33,2565511.96,18.93
103,STRUCTURAL,ERC,False,True,False,5.0,24.66,2.92,5.4,35.1,25.0,2567762.88,18.92
104,STRUCTURAL,ERC,False,True,False,10.0,24.62,2.86,5.13,35.8,22.33,2565511.96,18.93
105,STRUCTURAL,ERC,True,False,True,5.0,19.36,1.0,2.0,33.3,28.65,2280653.66,7.95
106,STRUCTURAL,ERC,True,False,True,10.0,21.86,1.2,2.36,33.7,24.21,2412342.0,10.48
107,STRUCTURAL,ERC,True,False,False,5.0,19.36,1.0,2.0,33.3,28.65,2280653.66,7.95
108,STRUCTURAL,ERC,True,False,False,10.0,21.86,1.2,2.36,33.7,24.21,2412342.0,10.48
109,STRUCTURAL,ERC,True,True,True,5.0,16.1,0.79,1.29,37.9,29.13,2118728.49,5.41
110,STRUCTURAL,ERC,True,True,True,10.0,15.14,0.82,1.38,37.3,28.52,2073350.7,5.27
111,STRUCTURAL,ERC,True,True,False,5.0,16.1,0.79,1.29,37.9,29.13,2118728.49,5.41
112,STRUCTURAL,ERC,True,True,False,10.0,15.14,0.82,1.38,37.3,28.52,2073350.7,5.27
113,STRUCTURAL,CONVICTION,False,False,True,5.0,29.19,3.25,6.31,34.0,24.99,2838244.24,22.41
114,STRUCTURAL,CONVICTION,False,False,True,10.0,28.43,3.09,5.77,34.9,26.49,2791365.87,21.0
115,STRUCTURAL,CONVICTION,False,False,False,5.0,29.19,3.25,6.31,34.0,24.99,2838244.24,22.41
116,STRUCTURAL,CONVICTION,False,False,False,10.0,28.43,3.09,5.77,34.9,26.49,2791365.87,21.0
117,STRUCTURAL,CONVICTION,False,True,True,5.0,22.01,2.79,5.64,33.1,23.09,2420210.26,17.94
118,STRUCTURAL,CONVICTION,False,True,True,10.0,22.41,2.8,5.33,34.5,23.73,2442081.6,17.8
119,STRUCTURAL,CONVICTION,False,True,False,5.0,22.01,2.79,5.64,33.1,23.09,2420210.26,17.94
120,STRUCTURAL,CONVICTION,False,True,False,10.0,22.41,2.8,5.33,34.5,23.73,2442081.6,17.8
121,STRUCTURAL,CONVICTION,True,False,True,5.0,18.01,1.08,2.31,31.9,27.95,2212227.2,7.98
122,STRUCTURAL,CONVICTION,True,False,True,10.0,19.74,1.15,2.39,32.5,24.24,2300030.68,9.5
123,STRUCTURAL,CONVICTION,True,False,False,5.0,18.01,1.08,2.31,31.9,27.95,2212227.2,7.98
124,STRUCTURAL,CONVICTION,True,False,False,10.0,19.74,1.15,2.39,32.5,24.24,2300030.68,9.5
125,STRUCTURAL,CONVICTION,True,True,True,5.0,17.13,0.79,1.35,36.9,25.64,2168918.64,6.39
126,STRUCTURAL,CONVICTION,True,True,True,10.0,14.65,0.74,1.26,37.1,29.57,2050485.96,4.59
127,STRUCTURAL,CONVICTION,True,True,False,5.0,17.13,0.79,1.35,36.9,25.64,2168918.64,6.39
128,STRUCTURAL,CONVICTION,True,True,False,10.0,14.65,0.74,1.26,37.1,29.57,2050485.96,4.59
129,STRUCTURAL,EQUAL,False,False,True,5.0,32.02,4.03,8.49,32.2,26.27,3020550.03,27.33
130,STRUCTURAL,EQUAL,False,False,True,10.0,31.37,3.67,7.34,33.3,25.37,2977925.46,25.26
131,STRUCTURAL,EQUAL,False,False,False,5.0,32.02,4.03,8.49,32.2,26.27,3020550.03,27.33
132,STRUCTURAL,EQUAL,False,False,False,10.0,31.37,3.67,7.34,33.3,25.37,2977925.46,25.26
133,STRUCTURAL,EQUAL,False,True,True,5.0,23.87,2.83,5.38,34.5,24.37,2522804.47,18.42
134,STRUCTURAL,EQUAL,False,True,True,10.0,22.98,2.69,5.12,34.5,23.61,2473383.11,17.56
135,STRUCTURAL,EQUAL,False,True,False,5.0,23.87,2.83,5.38,34.5,24.37,2522804.47,18.42
136,STRUCTURAL,EQUAL,False,True,False,10.0,22.98,2.69,5.12,34.5,23.61,2473383.11,17.56
137,STRUCTURAL,EQUAL,True,False,True,5.0,24.63,1.24,2.4,34.2,30.73,2566164.88,10.76
138,STRUCTURAL,EQUAL,True,False,True,10.0,22.02,1.24,2.5,33.1,23.95,2420790.77,10.81
139,STRUCTURAL,EQUAL,True,False,False,5.0,24.63,1.24,2.4,34.2,30.73,2566164.88,10.76
140,STRUCTURAL,EQUAL,True,False,False,10.0,22.02,1.24,2.5,33.1,23.95,2420790.77,10.81
141,STRUCTURAL,EQUAL,True,True,True,5.0,17.34,0.82,1.37,37.5,25.81,2179139.91,6.55
142,STRUCTURAL,EQUAL,True,True,True,10.0,15.71,0.81,1.47,35.6,29.91,2100217.98,5.33
143,STRUCTURAL,EQUAL,True,True,False,5.0,17.34,0.82,1.37,37.5,25.81,2179139.91,6.55
144,STRUCTURAL,EQUAL,True,True,False,10.0,15.71,0.81,1.47,35.6,29.91,2100217.98,5.33
145,BUY_AND_HO,ERC,False,False,True,5.0,22.29,6.3,4.41,58.8,22.73,2435362.24,27.71
146,BUY_AND_HO,ERC,False,False,True,10.0,22.14,6.25,4.74,56.9,22.71,2427105.04,27.75
147,BUY_AND_HO,ERC,False,False,False,5.0,22.29,6.3,4.41,58.8,22.73,2435362.24,27.71
148,BUY_AND_HO,ERC,False,False,False,10.0,22.14,6.25,4.74,56.9,22.71,2427105.04,27.75
149,BUY_AND_HO,ERC,False,True,True,5.0,22.97,5.95,4.96,54.5,22.16,2472452.59,27.43
150,BUY_AND_HO,ERC,False,True,True,10.0,22.91,5.74,4.44,56.4,22.15,2469476.99,26.39
151,BUY_AND_HO,ERC,False,True,False,5.0,22.97,5.95,4.96,54.5,22.16,2472452.59,27.43
152,BUY_AND_HO,ERC,False,True,False,10.0,22.91,5.74,4.44,56.4,22.15,2469476.99,26.39
153,BUY_AND_HO,ERC,True,False,True,5.0,23.5,3.82,3.01,55.9,22.24,2502000.77,19.78
154,BUY_AND_HO,ERC,True,False,True,10.0,23.04,3.66,2.77,56.9,22.19,2476793.06,18.95
155,BUY_AND_HO,ERC,True,False,False,5.0,23.5,3.82,3.01,55.9,22.24,2502000.77,19.78
156,BUY_AND_HO,ERC,True,False,False,10.0,23.04,3.66,2.77,56.9,22.19,2476793.06,18.95
157,BUY_AND_HO,ERC,True,True,True,5.0,23.7,3.48,3.12,52.7,22.54,2513196.41,18.88
158,BUY_AND_HO,ERC,True,True,True,10.0,22.35,3.13,2.61,54.5,22.59,2438529.03,16.9
159,BUY_AND_HO,ERC,True,True,False,5.0,23.7,3.48,3.12,52.7,22.54,2513196.41,18.88
160,BUY_AND_HO,ERC,True,True,False,10.0,22.35,3.13,2.61,54.5,22.59,2438529.03,16.9
161,BUY_AND_HO,CONVICTION,False,False,True,5.0,21.5,5.11,3.73,57.8,23.6,2392922.98,23.19
162,BUY_AND_HO,CONVICTION,False,False,True,10.0,21.42,5.18,3.77,57.8,23.58,2388570.38,23.4
163,BUY_AND_HO,CONVICTION,False,False,False,5.0,21.5,5.11,3.73,57.8,23.6,2392922.98,23.19
164,BUY_AND_HO,CONVICTION,False,False,False,10.0,21.42,5.18,3.77,57.8,23.58,2388570.38,23.4
165,BUY_AND_HO,CONVICTION,False,True,True,5.0,22.56,5.51,4.76,53.6,23.08,2450265.46,25.66
166,BUY_AND_HO,CONVICTION,False,True,True,10.0,22.56,5.53,4.78,53.6,23.01,2450087.79,25.75
167,BUY_AND_HO,CONVICTION,False,True,False,5.0,22.56,5.51,4.76,53.6,23.08,2450265.46,25.66
168,BUY_AND_HO,CONVICTION,False,True,False,10.0,22.56,5.53,4.78,53.6,23.01,2450087.79,25.75
169,BUY_AND_HO,CONVICTION,True,False,True,5.0,24.75,3.82,3.53,52.0,22.3,2572706.44,20.66
170,BUY_AND_HO,CONVICTION,True,False,True,10.0,24.62,3.87,3.31,53.9,22.13,2565567.28,20.62
171,BUY_AND_HO,CONVICTION,True,False,False,5.0,24.75,3.82,3.53,52.0,22.3,2572706.44,20.66
172,BUY_AND_HO,CONVICTION,True,False,False,10.0,24.62,3.87,3.31,53.9,22.13,2565567.28,20.62
173,BUY_AND_HO,CONVICTION,True,True,True,5.0,25.14,3.71,3.21,53.6,22.73,2595115.47,20.18
174,BUY_AND_HO,CONVICTION,True,True,True,10.0,25.16,3.73,3.6,50.9,22.67,2596233.01,20.55
175,BUY_AND_HO,CONVICTION,True,True,False,5.0,25.14,3.71,3.21,53.6,22.73,2595115.47,20.18
176,BUY_AND_HO,CONVICTION,True,True,False,10.0,25.16,3.73,3.6,50.9,22.67,2596233.01,20.55
177,BUY_AND_HO,EQUAL,False,False,True,5.0,21.35,5.73,4.34,56.9,23.23,2384923.71,25.5
178,BUY_AND_HO,EQUAL,False,False,True,10.0,21.59,5.89,4.47,56.9,23.18,2397777.94,26.18
179,BUY_AND_HO,EQUAL,False,False,False,5.0,21.35,5.73,4.34,56.9,23.23,2384923.71,25.5
180,BUY_AND_HO,EQUAL,False,False,False,10.0,21.59,5.89,4.47,56.9,23.18,2397777.94,26.18
181,BUY_AND_HO,EQUAL,False,True,True,5.0,22.09,5.77,4.64,55.5,22.86,2424555.1,26.2
182,BUY_AND_HO,EQUAL,False,True,True,10.0,22.28,5.9,4.47,56.9,22.69,2434830.47,26.56
183,BUY_AND_HO,EQUAL,False,True,False,5.0,22.09,5.77,4.64,55.5,22.86,2424555.1,26.2
184,BUY_AND_HO,EQUAL,False,True,False,10.0,22.28,5.9,4.47,56.9,22.69,2434830.47,26.56
185,BUY_AND_HO,EQUAL,True,False,True,5.0,22.96,3.72,3.3,52.9,22.54,2472172.37,19.44
186,BUY_AND_HO,EQUAL,True,False,True,10.0,23.13,3.76,2.97,55.9,22.43,2481323.74,19.39
187,BUY_AND_HO,EQUAL,True,False,False,5.0,22.96,3.72,3.3,52.9,22.54,2472172.37,19.44
188,BUY_AND_HO,EQUAL,True,False,False,10.0,23.13,3.76,2.97,55.9,22.43,2481323.74,19.39
189,BUY_AND_HO,EQUAL,True,True,True,5.0,23.31,3.52,3.16,52.7,23.16,2491752.28,18.78
190,BUY_AND_HO,EQUAL,True,True,True,10.0,23.28,3.52,3.04,53.6,23.13,2489669.22,18.68
191,BUY_AND_HO,EQUAL,True,True,False,5.0,23.31,3.52,3.16,52.7,23.16,2491752.28,18.78
192,BUY_AND_HO,EQUAL,True,True,False,10.0,23.28,3.52,3.04,53.6,23.13,2489669.22,18.68
