id,name,asset_mode,filter,basket_size,exit_protocol,composite_score,full_ret,full_alpha,full_xirr,one_yr_ret,one_yr_alpha,one_yr_xirr,bear_ret,bear_alpha,bear_xirr,bull_ret,full_pr,full_pf,full_dd
SIP_078,SIP_078: PURE_STOCKS | 52W_HIGH_PROXI | 6Stk | VAN_THARP_3T,PURE_STOCKS,52W_HIGH_PROXIMITY,6,VAN_THARP_3TIER,8.45,28.56,21.26,19.0,26.69,34.12,51.3,-15.3,-6.47,-45.8,12.16,1.73,0.26,13.4
SIP_061,SIP_061: PURE_STOCKS | MOM_HURDLE_20 | 6Stk | ADAPTIVE_STR,PURE_STOCKS,MOM_HURDLE_20,6,ADAPTIVE_STRUCTURAL,8.38,24.34,17.04,16.4,27.06,34.49,52.0,-14.84,-6.02,-44.7,14.81,0.0,0.0,12.7
SIP_077,SIP_077: PURE_STOCKS | 52W_HIGH_PROXI | 6Stk | ADAPTIVE_STR,PURE_STOCKS,52W_HIGH_PROXIMITY,6,ADAPTIVE_STRUCTURAL,8.15,29.7,22.4,19.7,23.63,31.06,45.1,-15.18,-6.35,-45.5,12.94,0.0,0.0,12.6
SIP_064,SIP_064: PURE_STOCKS | MOM_HURDLE_20 | 6Stk | DYNAMIC_ATR,PURE_STOCKS,MOM_HURDLE_20,6,DYNAMIC_ATR,7.86,23.27,15.97,15.7,27.25,34.68,52.4,-15.18,-6.35,-45.5,13.96,0.0,0.0,12.7
SIP_080,SIP_080: PURE_STOCKS | 52W_HIGH_PROXI | 6Stk | DYNAMIC_ATR,PURE_STOCKS,52W_HIGH_PROXIMITY,6,DYNAMIC_ATR,7.73,27.21,19.91,18.1,25.26,32.69,48.4,-15.3,-6.47,-45.8,11.92,0.0,0.0,12.6
SIP_084,SIP_084: PURE_STOCKS | MOMENTUM_CONVE | 3Stk | DYNAMIC_ATR,PURE_STOCKS,MOMENTUM_CONVEXITY,3,DYNAMIC_ATR,7.63,25.48,18.18,17.1,14.95,22.38,28.0,-8.42,0.4,-27.5,7.74,0.0,0.0,10.2
SIP_009,SIP_009: PURE_STOCKS | MULTI_LOOKBACK | 5Stk | ADAPTIVE_STR,PURE_STOCKS,MULTI_LOOKBACK_BLEND,5,ADAPTIVE_STRUCTURAL,7.15,28.94,21.64,19.2,17.41,24.84,32.8,-15.1,-6.27,-45.3,16.38,0.0,0.0,14.8
SIP_081,SIP_081: PURE_STOCKS | MOMENTUM_CONVE | 3Stk | ADAPTIVE_STR,PURE_STOCKS,MOMENTUM_CONVEXITY,3,ADAPTIVE_STRUCTURAL,7.03,24.88,17.58,16.7,12.32,19.76,23.0,-8.09,0.74,-26.5,7.74,0.0,0.0,10.9
SIP_083,SIP_083: PURE_STOCKS | MOMENTUM_CONVE | 3Stk | SMART_STEPLA,PURE_STOCKS,MOMENTUM_CONVEXITY,3,SMART_STEPLADDER,6.97,31.2,23.9,20.6,14.95,22.38,28.0,-12.3,-3.47,-38.2,9.02,1.21,0.1,13.0
SIP_012,SIP_012: PURE_STOCKS | MULTI_LOOKBACK | 5Stk | DYNAMIC_ATR,PURE_STOCKS,MULTI_LOOKBACK_BLEND,5,DYNAMIC_ATR,6.5,26.9,19.6,17.9,17.41,24.84,32.8,-15.1,-6.27,-45.3,15.45,0.0,0.0,13.9
SIP_014,SIP_014: PURE_STOCKS | MULTI_LOOKBACK | 6Stk | VAN_THARP_3T,PURE_STOCKS,MULTI_LOOKBACK_BLEND,6,VAN_THARP_3TIER,6.35,30.54,23.24,20.2,16.99,24.42,32.0,-15.6,-6.77,-46.5,12.38,2.09,0.14,17.4
SIP_013,SIP_013: PURE_STOCKS | MULTI_LOOKBACK | 6Stk | ADAPTIVE_STR,PURE_STOCKS,MULTI_LOOKBACK_BLEND,6,ADAPTIVE_STRUCTURAL,5.58,26.9,19.6,17.9,16.99,24.42,32.0,-15.6,-6.77,-46.5,12.57,0.0,0.0,14.8
SIP_016,SIP_016: PURE_STOCKS | MULTI_LOOKBACK | 6Stk | DYNAMIC_ATR,PURE_STOCKS,MULTI_LOOKBACK_BLEND,6,DYNAMIC_ATR,4.84,24.2,16.9,16.3,16.99,24.42,32.0,-15.6,-6.77,-46.5,11.65,0.0,0.0,15.2
SIP_011,SIP_011: PURE_STOCKS | MULTI_LOOKBACK | 5Stk | SMART_STEPLA,PURE_STOCKS,MULTI_LOOKBACK_BLEND,5,SMART_STEPLADDER,3.28,12.55,5.25,8.7,17.41,24.84,32.8,-15.1,-6.27,-45.3,15.45,0.57,0.03,19.0
SIP_015,SIP_015: PURE_STOCKS | MULTI_LOOKBACK | 6Stk | SMART_STEPLA,PURE_STOCKS,MULTI_LOOKBACK_BLEND,6,SMART_STEPLADDER,2.25,12.82,5.52,8.9,16.99,24.42,32.0,-15.6,-6.77,-46.5,11.65,0.27,0.02,17.8
