id,name,asset_mode,filter,basket_size,exit_protocol,composite_score,full_ret,full_alpha,full_xirr,one_yr_ret,one_yr_alpha,one_yr_xirr,bear_ret,bear_alpha,bear_xirr,bull_ret,full_pr,full_pf,full_dd
SIP_006,SIP_006: PURE_STOCKS | MULTI_LOOKBACK | 4Stk | VAN_THARP_3T,PURE_STOCKS,MULTI_LOOKBACK_BLEND,4,VAN_THARP_3TIER,22.84,38.92,31.62,25.2,21.94,29.37,41.7,-26.86,-18.03,14.5,18.89,1.7,0.21,18.7
SIP_045,SIP_045: PURE_STOCKS | MOM_HURDLE_30 | 6Stk | ADAPTIVE_STR,PURE_STOCKS,MOM_HURDLE_30,6,ADAPTIVE_STRUCTURAL,22.65,39.02,31.72,25.3,24.75,32.18,47.4,-16.26,-7.43,14.5,14.26,0.0,0.0,12.0
SIP_019,SIP_019: PURE_STOCKS | CLENOW_MOMENTU | 3Stk | SMART_STEPLA,PURE_STOCKS,CLENOW_MOMENTUM,3,SMART_STEPLADDER,22.41,46.56,39.26,29.6,19.5,26.94,36.9,-21.09,-12.26,14.5,12.08,0.62,0.11,14.2
SIP_035,SIP_035: PURE_STOCKS | MOM_HURDLE_30 | 3Stk | SMART_STEPLA,PURE_STOCKS,MOM_HURDLE_30,3,SMART_STEPLADDER,22.39,39.24,31.95,25.4,22.02,29.46,41.9,-19.71,-10.88,14.5,16.19,0.39,0.09,14.5
SIP_037,SIP_037: PURE_STOCKS | MOM_HURDLE_30 | 4Stk | ADAPTIVE_STR,PURE_STOCKS,MOM_HURDLE_30,4,ADAPTIVE_STRUCTURAL,22.33,36.77,29.47,23.9,22.33,29.76,42.5,-18.92,-10.09,14.5,18.14,0.0,0.0,13.6
SIP_017,SIP_017: PURE_STOCKS | CLENOW_MOMENTU | 3Stk | ADAPTIVE_STR,PURE_STOCKS,CLENOW_MOMENTUM,3,ADAPTIVE_STRUCTURAL,21.97,42.16,34.86,27.1,18.27,25.71,34.5,-20.97,-12.14,14.5,15.8,0.0,0.0,15.2
SIP_040,SIP_040: PURE_STOCKS | MOM_HURDLE_30 | 4Stk | DYNAMIC_ATR,PURE_STOCKS,MOM_HURDLE_30,4,DYNAMIC_ATR,21.92,36.34,29.04,23.7,22.73,30.17,43.3,-18.92,-10.09,14.5,15.91,0.0,0.0,13.2
SIP_048,SIP_048: PURE_STOCKS | MOM_HURDLE_30 | 6Stk | DYNAMIC_ATR,PURE_STOCKS,MOM_HURDLE_30,6,DYNAMIC_ATR,21.84,34.94,27.64,22.9,25.65,33.09,49.2,-17.12,-8.29,14.5,13.28,0.0,0.0,12.0
SIP_057,SIP_057: PURE_STOCKS | MOM_HURDLE_20 | 5Stk | ADAPTIVE_STR,PURE_STOCKS,MOM_HURDLE_20,5,ADAPTIVE_STRUCTURAL,21.76,25.06,17.76,16.8,29.43,36.86,56.8,-16.36,-7.53,14.5,18.81,0.0,0.0,13.4
SIP_067,SIP_067: PURE_STOCKS | 52W_HIGH_PROXI | 3Stk | SMART_STEPLA,PURE_STOCKS,52W_HIGH_PROXIMITY,3,SMART_STEPLADDER,21.75,28.96,21.66,19.2,29.33,36.76,56.6,-19.26,-10.43,14.5,14.7,0.81,0.15,15.9
