id,name,entry_mode,slots,pyramid,exit_mode,composite_score,worst_bear_ret,worst_bear_xirr,worst_bear_pr,chop_ret,chop_xirr,chop_pr,bull_ret,cycle_ret,cycle_alpha,cycle_xirr,cycle_pr,cycle_pf,cycle_dd,cycle_wr
SW_023,SW_023: MULTI_LOOKBACK | 6Slots | LIVERMORE_ | SYMMETRIC_1.,MULTI_LOOKBACK,6,LIVERMORE_50,SYMMETRIC_1.5,32.33,-16.83,-31.5,0.58,19.45,118.5,0.91,34.87,17.61,25.05,17.6,0.77,1.19,23.0,61.2
SW_032,SW_032: MULTI_LOOKBACK | 8Slots | NONE | REGIME_ADAPT,MULTI_LOOKBACK,8,NONE,REGIME_ADAPTIVE,31.87,-19.65,-36.2,0.74,18.72,112.7,0.97,36.32,33.31,40.74,33.3,0.82,1.34,17.2,62.1
SW_030,SW_030: MULTI_LOOKBACK | 6Slots | AGGRESSIVE | CHANDELIER_R,MULTI_LOOKBACK,6,AGGRESSIVE_75,CHANDELIER_RUNNER,30.4,-15.64,-29.4,0.57,16.71,97.3,0.64,48.19,16.3,23.74,16.3,0.71,1.21,16.0,63.2
SW_015,SW_015: MULTI_LOOKBACK | 4Slots | AGGRESSIVE | CHANDELIER_R,MULTI_LOOKBACK,4,AGGRESSIVE_75,CHANDELIER_RUNNER,29.5,-15.79,-29.7,0.62,18.72,112.7,0.84,34.66,6.91,14.34,6.9,0.66,1.07,14.3,62.6
SW_056,SW_056: MULTI_LOOKBACK | 10Slots | AGGRESSIVE | THREE_TIER_S,MULTI_LOOKBACK,10,AGGRESSIVE_75,THREE_TIER_SCALE,28.88,-11.44,-22.1,0.72,11.48,61.3,0.8,67.57,27.19,34.62,27.2,0.84,1.29,17.1,60.9
SW_057,SW_057: MULTI_LOOKBACK | 10Slots | AGGRESSIVE | REGIME_ADAPT,MULTI_LOOKBACK,10,AGGRESSIVE_75,REGIME_ADAPTIVE,28.87,-15.1,-28.5,0.75,13.87,77.0,0.83,58.92,26.74,34.18,26.7,0.77,1.3,16.7,62.7
SW_054,SW_054: MULTI_LOOKBACK | 10Slots | LIVERMORE_ | ASYMMETRIC_2,MULTI_LOOKBACK,10,LIVERMORE_50,ASYMMETRIC_2.0,28.34,-17.19,-32.1,0.63,14.41,80.8,0.95,51.44,33.14,40.57,33.1,0.87,1.34,17.1,60.5
SW_051,SW_051: MULTI_LOOKBACK | 10Slots | LIVERMORE_ | THREE_TIER_S,MULTI_LOOKBACK,10,LIVERMORE_50,THREE_TIER_SCALE,28.29,-17.13,-32.0,0.65,13.73,76.1,0.91,62.07,24.55,31.98,24.6,0.82,1.25,17.6,60.2
SW_049,SW_049: MULTI_LOOKBACK | 10Slots | NONE | ASYMMETRIC_2,MULTI_LOOKBACK,10,NONE,ASYMMETRIC_2.0,27.59,-14.52,-27.5,0.74,13.43,74.1,0.99,49.27,32.55,39.98,32.5,0.92,1.33,16.4,59.1
SW_034,SW_034: MULTI_LOOKBACK | 8Slots | NONE | ASYMMETRIC_2,MULTI_LOOKBACK,8,NONE,ASYMMETRIC_2.0,27.3,-16.32,-30.6,0.75,15.18,86.2,0.93,42.91,25.29,32.72,25.3,0.87,1.24,17.8,58.9
