id,name,entry_mode,slots,pyramid,exit_mode,composite_score,worst_bear_ret,worst_bear_xirr,worst_bear_pr,chop_ret,chop_xirr,chop_pr,bull_ret,cycle_ret,cycle_alpha,cycle_xirr,cycle_pr,cycle_pf,cycle_dd,cycle_wr
SW_0494,SW_0494: MINERVINI_VCP | 8Slots | LIVERMORE_ | REGIME_ADAPT,MINERVINI_VCP,8,LIVERMORE_50,REGIME_ADAPTIVE,0.94,-7.91,-15.3,0.74,-3.32,-13.8,0.77,44.85,-11.12,-4.56,-11.1,1.07,0.78,14.6,43.3
SW_0795,SW_0795: DONCHIAN_TURT | 8Slots | LIVERMORE_ | CHANDELIER_R,DONCHIAN_TURTLE,8,LIVERMORE_50,CHANDELIER_RUNNER,0.92,-16.35,-30.2,0.67,-10.14,-37.5,0.59,79.47,18.4,24.96,18.4,1.01,1.3,11.0,56.8
SW_0792,SW_0792: DONCHIAN_TURT | 8Slots | LIVERMORE_ | THREE_TIER_W,DONCHIAN_TURTLE,8,LIVERMORE_50,THREE_TIER_WIDE,0.82,-17.11,-31.5,0.65,-6.94,-27.1,1.0,63.69,23.36,29.93,23.4,1.04,1.36,8.9,56.4
SW_0712,SW_0712: DONCHIAN_TURT | 3Slots | LIVERMORE_ | THREE_TIER_W,DONCHIAN_TURTLE,3,LIVERMORE_50,THREE_TIER_WIDE,0.78,-16.15,-29.9,0.78,-5.85,-23.3,0.91,67.66,4.6,11.16,4.6,0.9,1.04,12.8,52.4
SW_0715,SW_0715: DONCHIAN_TURT | 3Slots | LIVERMORE_ | CHANDELIER_R,DONCHIAN_TURTLE,3,LIVERMORE_50,CHANDELIER_RUNNER,0.42,-19.33,-35.1,0.8,-6.17,-24.4,0.51,77.72,-1.38,5.19,-1.4,0.8,0.95,17.2,51.6
SW_0444,SW_0444: MINERVINI_VCP | 5Slots | NONE | REGIME_ADAPT,MINERVINI_VCP,5,NONE,REGIME_ADAPTIVE,0.38,-6.26,-12.2,0.97,-4.48,-18.3,0.88,42.66,-16.48,-9.92,-16.5,1.05,0.71,20.2,40.0
SW_0711,SW_0711: DONCHIAN_TURT | 3Slots | LIVERMORE_ | THREE_TIER_T,DONCHIAN_TURTLE,3,LIVERMORE_50,THREE_TIER_TIGHT,0.3,-12.22,-23.1,0.9,-8.9,-33.6,0.77,59.59,11.97,18.53,12.0,0.97,1.15,10.4,53.2
SW_0798,SW_0798: DONCHIAN_TURT | 8Slots | AGGRESSIVE | ASYMMETRIC_R,DONCHIAN_TURTLE,8,AGGRESSIVE_75,ASYMMETRIC_RUNNER,0.2,-10.96,-20.9,0.8,-10.54,-38.7,0.66,63.75,15.98,22.54,16.0,0.95,1.24,10.9,56.6
SW_0914,SW_0914: MULTI_FACTOR_ | 3Slots | LIVERMORE_ | REGIME_ADAPT,MULTI_FACTOR_APEX,3,LIVERMORE_50,REGIME_ADAPTIVE,0.05,-21.44,-38.5,0.72,1.11,5.0,0.66,9.43,21.57,28.13,21.6,0.95,1.29,13.3,59.5
SW_0429,SW_0429: MINERVINI_VCP | 4Slots | CONSERVATI | REGIME_ADAPT,MINERVINI_VCP,4,CONSERVATIVE_25,REGIME_ADAPTIVE,-0.31,-7.62,-14.8,0.74,-5.12,-20.6,0.93,37.14,-7.83,-1.27,-7.8,1.11,0.86,17.3,44.2
SW_0489,SW_0489: MINERVINI_VCP | 8Slots | CONSERVATI | REGIME_ADAPT,MINERVINI_VCP,8,CONSERVATIVE_25,REGIME_ADAPTIVE,-0.42,-7.99,-15.4,0.78,-4.43,-18.1,0.91,38.32,-5.16,1.4,-5.2,1.24,0.88,11.4,42.5
SW_0474,SW_0474: MINERVINI_VCP | 6Slots | LIVERMORE_ | REGIME_ADAPT,MINERVINI_VCP,6,LIVERMORE_50,REGIME_ADAPTIVE,-0.42,-8.26,-16.0,0.69,-3.9,-16.0,0.95,44.07,-16.56,-10.0,-16.6,0.89,0.69,17.2,44.3
SW_0406,SW_0406: MINERVINI_VCP | 3Slots | CONSERVATI | THREE_TIER_T,MINERVINI_VCP,3,CONSERVATIVE_25,THREE_TIER_TIGHT,-0.47,-1.81,-3.6,0.74,-6.13,-24.3,0.56,32.46,-15.39,-8.82,-15.4,0.92,0.75,20.7,45.8
SW_0717,SW_0717: DONCHIAN_TURT | 3Slots | AGGRESSIVE | THREE_TIER_W,DONCHIAN_TURTLE,3,AGGRESSIVE_75,THREE_TIER_WIDE,-0.62,-13.85,-26.0,0.8,-9.84,-36.6,0.71,69.54,7.65,14.21,7.7,0.92,1.1,12.7,57.3
