id,name,asset_mode,filter,basket_size,exit_protocol,composite_score,full_ret,full_alpha,full_xirr,one_yr_ret,one_yr_alpha,one_yr_xirr,bear_ret,bear_alpha,bear_xirr,bull_ret,full_pr,full_dd
SIP_0213,SIP_0213: TACTICAL_MA | CLENOW_MOMENTU | 5Stk | ADAPTIVE_STR,TACTICAL_MACRO_90_10,CLENOW_MOMENTUM,5,ADAPTIVE_STRUCTURAL,11.33,8.31,-9.44,6.1,10.85,13.3,24.7,-18.01,2.24,14.5,14.84,2.02,8.7
SIP_0273,SIP_0273: TACTICAL_MA | MOM_HURDLE_20 | 8Stk | ADAPTIVE_STR,TACTICAL_MACRO_90_10,MOM_HURDLE_20,8,ADAPTIVE_STRUCTURAL,11.33,6.07,-11.68,4.5,12.13,14.58,27.7,-21.2,-0.95,14.5,16.06,2.39,8.2
SIP_0068,SIP_0068: PURE_STOCKS | MOM_HURDLE_20 | 6Stk | ADAPTIVE_STR,PURE_STOCKS,MOM_HURDLE_20,6,ADAPTIVE_STRUCTURAL,11.32,1.32,-16.43,1.0,16.09,18.54,37.3,-17.89,2.36,14.5,17.18,2.02,12.3
SIP_0360,SIP_0360: TACTICAL_MA | 52W_HIGH_PROXI | 4Stk | TIME_DECAY_M,TACTICAL_MACRO_90_10,52W_HIGH_PROXIMITY,4,TIME_DECAY_MOMENTUM,11.3,8.55,-9.2,6.2,8.69,11.14,19.6,-13.36,6.89,14.5,17.24,2.24,12.3
SIP_0280,SIP_0280: TACTICAL_MA | MOM_HURDLE_30 | 3Stk | TIME_DECAY_M,TACTICAL_MACRO_90_10,MOM_HURDLE_30,3,TIME_DECAY_MOMENTUM,11.28,8.73,-9.02,6.4,7.59,10.04,17.1,-19.33,0.92,14.5,18.17,2.01,14.0
SIP_0804,SIP_0804: MULTI_ASSET | CLENOW_MOMENTU | 3Stk | DYNAMIC_ATR,MULTI_ASSET_BALANCED,CLENOW_MOMENTUM,3,DYNAMIC_ATR,11.24,15.8,-1.95,11.3,12.38,14.83,28.3,-18.25,2.0,14.5,3.4,1.45,13.5
SIP_0404,SIP_0404: TACTICAL_MA | CLENOW_MOMENTU | 3Stk | DYNAMIC_ATR,TACTICAL_MACRO_80_20,CLENOW_MOMENTUM,3,DYNAMIC_ATR,11.24,15.8,-1.95,11.3,12.38,14.83,28.3,-18.25,2.0,14.5,3.4,1.45,13.5
SIP_0339,SIP_0339: TACTICAL_MA | MULTI_LOOKBACK | 5Stk | DYNAMIC_ATR,TACTICAL_MACRO_90_10,MULTI_LOOKBACK_BLEND,5,DYNAMIC_ATR,11.24,11.56,-6.18,8.4,8.34,10.79,18.8,-19.06,1.19,14.5,13.49,2.0,12.9
SIP_0604,SIP_0604: MOMENTUM_RO | CLENOW_MOMENTU | 3Stk | DYNAMIC_ATR,MOMENTUM_ROTATE_DYNAMIC,CLENOW_MOMENTUM,3,DYNAMIC_ATR,11.24,15.8,-1.95,11.3,12.38,14.83,28.3,-18.25,2.0,14.5,3.4,1.45,13.5
SIP_0275,SIP_0275: TACTICAL_MA | MOM_HURDLE_20 | 8Stk | TIME_DECAY_M,TACTICAL_MACRO_90_10,MOM_HURDLE_20,8,TIME_DECAY_MOMENTUM,11.21,10.25,-7.5,7.5,9.99,12.44,22.6,-18.14,2.11,14.5,12.88,2.27,11.8
SIP_0138,SIP_0138: PURE_STOCKS | MULTI_LOOKBACK | 5Stk | ADAPTIVE_STR,PURE_STOCKS,MULTI_LOOKBACK_BLEND,5,ADAPTIVE_STRUCTURAL,11.18,5.22,-12.52,3.9,11.09,13.54,25.2,-18.57,1.69,14.5,17.63,1.66,9.8
SIP_0025,SIP_0025: PURE_STOCKS | CLENOW_MOMENTU | 8Stk | TIME_DECAY_M,PURE_STOCKS,CLENOW_MOMENTUM,8,TIME_DECAY_MOMENTUM,11.17,11.91,-5.84,8.6,4.77,7.21,10.6,-18.33,1.92,14.5,17.29,1.85,13.3
SIP_0131,SIP_0131: PURE_STOCKS | MULTI_LOOKBACK | 4Stk | VAN_THARP_3T,PURE_STOCKS,MULTI_LOOKBACK_BLEND,4,VAN_THARP_3TIER,11.16,5.64,-12.1,4.2,15.87,18.32,36.7,-21.85,-1.6,14.5,11.04,0.34,11.9
