id,name,asset_mode,filter,basket_size,exit_protocol,booster,composite_score,full_ret,full_alpha,full_xirr,one_yr_ret,one_yr_alpha,one_yr_xirr,bear_ret,bear_alpha,bear_xirr,bull_ret,full_pr,full_dd
SIP_00952,SIP_00952: PURE_STOCK | MULTI_LOOKBA | 6Stk | VAN_THARP_ | STEPUP_10_,PURE_STOCKS,MULTI_LOOKBACK_BLEND,6,VAN_THARP_3TIER,STEPUP_10_DIP_95,10.84,4.2,-13.55,3.24,11.0,13.45,25.02,-17.65,2.6,14.5,17.24,0.43,10.03
SIP_06270,SIP_06270: CORE_SATEL | CLENOW_MOMEN | 3Stk | DYNAMIC_AT | STEPUP_10_,CORE_SATELLITE_70_30,CLENOW_MOMENTUM,3,DYNAMIC_ATR,STEPUP_10_LIQUID_SWEEP,10.84,13.89,-3.85,10.45,11.46,13.91,26.11,-17.81,2.44,14.5,4.02,1.45,12.05
SIP_03023,SIP_03023: TACTICAL_M | MOM_HURDLE_3 | 3Stk | TIME_DECAY | STEPUP_15_,TACTICAL_MACRO_80_20,MOM_HURDLE_30,3,TIME_DECAY_MOMENTUM,STEPUP_15_DIP_95_SKIM,10.84,7.07,-10.68,5.54,6.98,9.43,15.65,-19.33,0.92,14.5,18.21,2.01,12.11
SIP_08243,SIP_08243: ASYMMETRIC | MOM_HURDLE_3 | 8Stk | DYNAMIC_AT | STEPUP_15_,ASYMMETRIC_ALPHA_95_5,MOM_HURDLE_35,8,DYNAMIC_ATR,STEPUP_15_DIP_95_SKIM,10.84,5.33,-12.42,4.19,10.89,13.34,24.76,-14.2,6.05,14.5,15.68,2.51,10.32
SIP_05647,SIP_05647: MULTI_ASSE | MOM_HURDLE_3 | 3Stk | TIME_DECAY | STEPUP_10_,MULTI_ASSET_BALANCED,MOM_HURDLE_35,3,TIME_DECAY_MOMENTUM,STEPUP_10_DIP_95,10.84,6.48,-11.27,4.98,7.81,10.26,17.55,-19.9,0.35,14.5,18.17,1.99,13.5
SIP_08770,SIP_08770: DYNAMIC_RE | CLENOW_MOMEN | 3Stk | DYNAMIC_AT | STEPUP_10_,DYNAMIC_REGIME_ROUTER,CLENOW_MOMENTUM,3,DYNAMIC_ATR,STEPUP_10_LIQUID_SWEEP,10.84,13.89,-3.85,10.45,11.46,13.91,26.11,-17.81,2.44,14.5,4.02,1.45,12.05
SIP_01302,SIP_01302: TACTICAL_M | CLENOW_MOMEN | 5Stk | VAN_THARP_ | STEPUP_10_,TACTICAL_MACRO_90_10,CLENOW_MOMENTUM,5,VAN_THARP_3TIER,STEPUP_10_DIP_95,10.84,14.52,-3.23,10.9,3.56,6.01,7.89,-17.12,3.13,14.5,13.13,0.4,4.76
SIP_01537,SIP_01537: TACTICAL_M | MOM_HURDLE_2 | 4Stk | ADAPTIVE_S | STEPUP_10_,TACTICAL_MACRO_90_10,MOM_HURDLE_20,4,ADAPTIVE_STRUCTURAL,STEPUP_10_DIP_95,10.84,7.44,-10.31,5.7,11.01,13.46,25.03,-17.14,3.11,14.5,12.9,2.29,12.78
SIP_06075,SIP_06075: MULTI_ASSE | 52W_HIGH_PRO | 5Stk | TIME_DECAY | STEPUP_10_,MULTI_ASSET_BALANCED,52W_HIGH_PROXIMITY,5,TIME_DECAY_MOMENTUM,STEPUP_10_LIQUID_SWEEP,10.84,7.07,-10.68,5.42,5.58,8.03,12.45,-13.14,7.11,14.5,20.18,2.56,10.91
SIP_00303,SIP_00303: PURE_STOCK | MOM_HURDLE_2 | 5Stk | VAN_THARP_ | STEPUP_15_,PURE_STOCKS,MOM_HURDLE_20,5,VAN_THARP_3TIER,STEPUP_15_DIP_95_SKIM,10.84,-0.53,-18.28,-0.43,14.33,16.78,32.97,-18.39,1.86,14.5,19.47,0.32,10.76
