id,name,entry_mode,slots,pyramid,exit_mode,defense_mode,composite_score,worst_bear_ret,worst_bear_xirr,worst_bear_pr,chop_ret,chop_xirr,chop_pr,bull_ret,avg_ret,cycle_ret,cycle_alpha,cycle_xirr,cycle_pr,cycle_pf,cycle_dd,cycle_wr
SW_04150,SW_04150: MINERVINI_ | 3Sl | AGGRESSI | CHANDELIER | COMPREHE,MINERVINI_VCP,3,AGGRESSIVE_75,CHANDELIER_RUNNER,COMPREHENSIVE_FORTRESS,-0.71,-13.34,-25.07,0.55,0.24,1.07,0.53,32.96,1.61,-7.93,-1.37,-7.93,0.71,0.77,21.31,52.8
SW_07928,SW_07928: DONCHIAN_T | 8Sl | AGGRESSI | THREE_TIER | REGIME_S,DONCHIAN_TURTLE,8,AGGRESSIVE_75,THREE_TIER_STANDARD,REGIME_SHIELD_AND_SWEEP,-0.72,-13.85,-25.96,0.79,-8.19,-31.33,0.7,65.08,-3.38,8.28,14.84,8.28,1.1,1.08,12.99,49.8
SW_07993,SW_07993: DONCHIAN_T | 8Sl | INVERSE_ | MOMENTUM_E | REGIME_S,DONCHIAN_TURTLE,8,INVERSE_VOL_SIZING,MOMENTUM_EXPONENTIAL,REGIME_SHIELD_AND_SWEEP,-0.72,-12.66,-23.89,0.49,-3.49,-14.47,0.66,36.73,-1.4,12.48,19.04,12.48,0.82,1.24,8.53,59.6
SW_07995,SW_07995: DONCHIAN_T | 8Sl | INVERSE_ | MOMENTUM_E | COMPREHE,DONCHIAN_TURTLE,8,INVERSE_VOL_SIZING,MOMENTUM_EXPONENTIAL,COMPREHENSIVE_FORTRESS,-0.72,-12.66,-23.89,0.49,-3.49,-14.47,0.66,36.73,-1.4,12.48,19.04,12.48,0.82,1.24,8.53,59.6
SW_08638,SW_08638: RANGE_EXPA | 6Sl | NONE | SUPER_RUNN | REGIME_S,RANGE_EXPANSION_BURST,6,NONE,SUPER_RUNNER_15X,REGIME_SHIELD_AND_SWEEP,-0.76,-20.85,-37.59,0.43,2.72,12.5,0.95,28.25,12.13,-3.02,3.54,-3.02,0.88,0.95,14.56,52.2
SW_08640,SW_08640: RANGE_EXPA | 6Sl | NONE | SUPER_RUNN | COMPREHE,RANGE_EXPANSION_BURST,6,NONE,SUPER_RUNNER_15X,COMPREHENSIVE_FORTRESS,-0.76,-20.85,-37.59,0.43,2.72,12.5,0.95,28.25,12.13,-3.02,3.54,-3.02,0.88,0.95,14.56,52.2
SW_07772,SW_07772: DONCHIAN_T | 6Sl | INVERSE_ | THREE_TIER | REGIME_S,DONCHIAN_TURTLE,6,INVERSE_VOL_SIZING,THREE_TIER_WIDE,REGIME_SHIELD_50,-0.77,-11.09,-21.1,0.7,-2.21,-9.36,0.92,33.78,-2.36,2.63,9.2,2.63,0.91,1.05,8.91,53.4
SW_07372,SW_07372: DONCHIAN_T | 4Sl | INVERSE_ | THREE_TIER | REGIME_S,DONCHIAN_TURTLE,4,INVERSE_VOL_SIZING,THREE_TIER_WIDE,REGIME_SHIELD_50,-0.81,-10.0,-19.15,0.7,-2.05,-8.72,0.76,37.56,-5.29,-5.67,0.89,-5.67,0.75,0.86,15.08,51.5
SW_07730,SW_07730: DONCHIAN_T | 6Sl | AGGRESSI | THREE_TIER | COMPREHE,DONCHIAN_TURTLE,6,AGGRESSIVE_75,THREE_TIER_STANDARD,COMPREHENSIVE_FORTRESS,-0.81,-14.09,-26.38,0.79,-9.98,-37.03,0.63,71.51,-8.94,13.15,19.71,13.15,1.02,1.16,11.53,52.0
SW_04796,SW_04796: MINERVINI_ | 6Sl | INVERSE_ | SUPER_RUNN | RAW_EXEC,MINERVINI_VCP,6,INVERSE_VOL_SIZING,SUPER_RUNNER_15X,RAW_EXECUTION,-0.82,-9.53,-18.28,0.59,-1.39,-5.96,0.58,25.77,4.02,-2.6,3.97,-2.6,0.79,0.9,13.22,54.8
SW_04799,SW_04799: MINERVINI_ | 6Sl | INVERSE_ | SUPER_RUNN | TIME_DEC,MINERVINI_VCP,6,INVERSE_VOL_SIZING,SUPER_RUNNER_15X,TIME_DECAY_STOP_7D,-0.82,-9.53,-18.28,0.59,-1.39,-5.96,0.58,25.77,4.02,-2.6,3.97,-2.6,0.79,0.9,13.22,54.8
SW_08677,SW_08677: RANGE_EXPA | 6Sl | CONSERVA | SUPER_RUNN | REGIME_S,RANGE_EXPANSION_BURST,6,CONSERVATIVE_25,SUPER_RUNNER_15X,REGIME_SHIELD_50,-0.84,-18.96,-34.56,0.42,0.66,2.95,0.8,31.71,15.72,-0.75,5.81,-0.75,0.91,1.0,14.62,53.8
SW_07724,SW_07724: DONCHIAN_T | 6Sl | AGGRESSI | SCALPER_TI | TIME_DEC,DONCHIAN_TURTLE,6,AGGRESSIVE_75,SCALPER_TIGHT,TIME_DECAY_STOP_7D,-0.85,-14.55,-27.17,0.83,-5.59,-22.37,1.1,59.7,-4.29,2.68,9.24,2.68,1.01,1.02,11.33,50.4
SW_07632,SW_07632: DONCHIAN_T | 6Sl | NONE | MOMENTUM_E | REGIME_S,DONCHIAN_TURTLE,6,NONE,MOMENTUM_EXPONENTIAL,REGIME_SHIELD_50,-0.86,-15.78,-29.28,0.51,-4.01,-16.46,0.69,46.54,-5.25,15.18,21.74,15.18,0.81,1.27,10.84,60.6
SW_05126,SW_05126: OVERSOLD_S | 3Sl | AGGRESSI | THREE_TIER | RAW_EXEC,OVERSOLD_SPRINGBOARD,3,AGGRESSIVE_75,THREE_TIER_STANDARD,RAW_EXECUTION,-0.87,-17.75,-32.56,0.57,1.73,7.85,1.53,19.59,9.02,7.56,14.13,7.56,1.14,1.11,15.27,49.5
